cid,content_name,content_type,owning_company,department,manager_name,status,all_contract_ids,contract_tab_total,contract_tab_visible_ids,contract_tab_unity_ids,contract_tab_lookup_ids,settlement_total,settlement_contract_ids,settlement_blank_contract_rows,error
160166,[정산정보없음]_무유지,소설,키다리스튜디오,소설편집팀,이선근,settlement_rows_without_contract,,0,,,,7,,7,
113774,상처,소설,키다리스튜디오,소설편집팀,이선근,settlement_rows_without_contract,,0,,,,1,,1,
113098,무성격자,소설,키다리스튜디오,소설편집팀,이선근,settlement_rows_without_contract,,0,,,,1,,1,
111932,나비를 잡는 아버지,소설,키다리스튜디오,소설편집팀,이선근,settlement_rows_without_contract,,0,,,,1,,1,
