cid,content_name,content_type,owning_company,department,manager_name,status,all_contract_ids,contract_tab_total,contract_tab_visible_ids,contract_tab_unity_ids,contract_tab_lookup_ids,settlement_total,settlement_contract_ids,settlement_blank_contract_rows,error
160166,[정산정보없음]_무유지,소설,키다리스튜디오,소설편집팀,이선근,matched_both,86041,1,86041,86041,86041,9,86041,7,
113774,상처,소설,키다리스튜디오,소설편집팀,이선근,matched_both,86042,1,86042,86042,86042,3,86042,1,
113098,무성격자,소설,키다리스튜디오,소설편집팀,이선근,matched_both,86043,1,86043,86043,86043,3,86043,1,
111932,나비를 잡는 아버지,소설,키다리스튜디오,소설편집팀,이선근,matched_both,86046,1,86046,86046,86046,3,86046,1,
