cid,content_name,department,manager_name,source,contract_id,visible_contract_id,unity_contract_id,main_contract_id,contract_kind,contract_status,counterparty_name,contract_name,settlement_row_count,channels,payment_settlement_ids
160166,[정산정보없음]_무유지,소설편집팀,이선근,contract_tab,86041,86041,86041,,본계약서,유지,기타-소설사업부(미정산),20260521_[정산정보없음]_무유지_소설사업부(미정산),,,
160166,[정산정보없음]_무유지,소설편집팀,이선근,settlement_table,86041,,,,,,기타-소설사업부(미정산),,2,원스토어(소설);교보문고(소설),1085574;1085565
113774,상처,소설편집팀,이선근,contract_tab,86042,86042,86042,,본계약서,유지,기타-소설사업부(미정산),20260521_상처_소설사업부(미정산),,,
113774,상처,소설편집팀,이선근,settlement_table,86042,,,,,,기타-소설사업부(미정산),,2,리디북스(소설);교보문고(소설),1085571;1085566
113098,무성격자,소설편집팀,이선근,contract_tab,86043,86043,86043,,본계약서,유지,기타-소설사업부(미정산),20260521_무성격자_소설사업부(미정산),,,
113098,무성격자,소설편집팀,이선근,settlement_table,86043,,,,,,기타-소설사업부(미정산),,2,리디북스(소설);교보문고(소설),1085575;1085567
111932,나비를 잡는 아버지,소설편집팀,이선근,contract_tab,86046,86046,86046,,본계약서,유지,기타-소설사업부(미정산),20260521_나비를 잡는 아버지_소설사업부(미정산),,,
111932,나비를 잡는 아버지,소설편집팀,이선근,settlement_table,86046,,,,,,기타-소설사업부(미정산),,2,리디북스(소설);교보문고(소설),1085576;1085570
